Reaction,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,Reference,Notes
I+NO₂+(CH₃)₃CC₂H₅→INO₂+(CH₃)₃CC₂H₅,,,,6.77E-32,0.0,330.0,I₂  (F.P.),14a,23
I+NO₂+(CH₃)₂CHCH₂CH(CH₃)₂→INO₂+M,,,,6.93E-32,0.0,330.0,I₂  (F.P.),14a,23
I+NO₂+(CH₃)₂CCH₂CH(CH₃)₂→INO₂+M,,,,7.59E-32,0.0,330.0,I₂  (F.P.),14a,23
I+CF₃ → CF₃I,,,,See Additional Notes -1,,297.0,CF₃I (F.P.),14b,14b
I+CF₃ → CF₃I,,,,See Additional Notes -2,,457.0,CF₃I (F.P.),14b,14b
I+C₂F₅ → C₂F₅I,,,,See Additional Notes -3,,297.0,C₂F₅I (F.P.),14b,14b
I+C₂F₅ → C₂F₅I,,,,See Additional Notes -4,,457.0,C₂F₅I (F.P.),14b,14b
I+C₃F₇ → C₃F₇I,,,,See Additional Notes -5,,297.0,C₃F₇I (F.P.),14b,14b
I+C₃F₇ → C₃F₇I,,,,See Additional Notes -6,,457.0,C₃F₇I (F.P.),14b,14b
I+C₄F₉ → C₄F₉I,,,,See Additional Notes -7,,297.0, C₄F₉I(F.P.),14b,14b
I+C₄F₉ → C₄F₉I,,,,See Additional Notes -8,,457.0, C₄F₉I(F.P.),14b,14b
O+NO+Ne→ NO₂+Ne,-1.0,-4.2,9.34e-33,,,217.0,NO (F.P.),26,24
O+NO+Ne→ NO₂+Ne,-1.0,-4.2,9.34e-33,,,217.0,NO (F.P.),26,24
O+NO+He→ NO₂+He,-1.0,-4.2,1.07e-32,,,217.0,NO (F.P.),26,24
O+NO+He→ NO₂+He,-1.0,-4.2,1.07e-32,,,500.0,NO (F.P.),26,24
O+NO+Ar→ NO₂+Ar,,,,6.46E-32,0.0,292.0,N+NO→ N₂+O,11,9
O+NO+Ar→ NO₂+Ar,-0.9,-3.9,1.45e-32,,,298.0,O₂ and NO (F.P.),11a,9
O+NO+Ar→ NO₂+Ar,-0.9,-3.9,1.45e-32,,,439.0,O₂ and NO (F.P.),11a,9
O+NO+Ar→ NO₂+Ar,-1.2,-5.0,8.92e-33,,,217.0,NO (F.P.),26,24
O+NO+Ar→ NO₂+Ar,-1.2,-5.0,8.92e-33,,,500.0,NO (F.P.),26,24
O+NO+Kr→ NO₂+Kr,-1.1,-4.6,9.56e-33,,,217.0,NO (F.P.),26,24
O+NO+Kr→ NO₂+Kr,-1.1,-4.6,9.56e-33,,,500.0,NO (F.P.),26,24
O+NO+N₂→ NO₂+N₂,-1.8,-7.5,5.02e-33,,,285.0,N+NO→ N₂+O,11,9
O+NO+N₂→ NO₂+N₂,-1.8,-7.5,5.02e-33,,,425.0,N+NO→ N₂+O,11,9
O+NO+N₂→ NO₂+N₂,,,,6.46E-32,0.0,295.0,NO₂ (P),15,15
O+NO+N₂→ NO₂+N₂,,,,5.02E-35,0.0,295.0,NO₂ (P),15,"2,15,16"
O+NO+N₂→ NO₂+N₂,-1.2,-4.8,1.55e-32,,,217.0,NO (F.P.),15a,16a
O+NO+N₂→ NO₂+N₂,-1.2,-4.8,1.55e-32,,,500.0,NO (F.P.),15a,16a
O+NO+O₂→ NO₂+O₂,,,,See Additional Notes -9,,230.0,,9,"2,5"
O+NO+O₂→ NO₂+O₂,,,,See Additional Notes -10,,3750.0,,9,"2,5"
O+NO+O₂→ NO₂+O₂,,,,7.09E-32,0.0,294.0,NO₂ (P.),16,
O+NO+O₂/Ar→ NO₂+O₂/Ar,-1.8,-7.8,3.02e-33,,,200.0,,9,5
O+NO+O₂/Ar→ NO₂+O₂/Ar,-1.8,-7.8,3.02e-33,,,500.0,,9,5
O+NO+N₂O→ NO₂+N₂O,-0.9,-3.8,2.6300000000000004e-32,,,300.0,NO₂ (P.),17,17
O+NO+N₂O→ NO₂+N₂O,-0.9,-3.8,2.6300000000000004e-32,,,392.0,NO₂ (P.),17,17
O+NO+N₂O→ NO₂+N₂O,,,,1.59E-31,0.0,299.0,N₂O/Hg* (P.),18,17
O+NO+N₂O→ NO₂+N₂O,-1.2,-5.1,1.66e-32,,,298.0,N₂O/Hg* (P.),19,17
O+NO+N₂O→ NO₂+N₂O,-1.2,-5.1,1.66e-32,,,473.0,N₂O/Hg* (P.),19,17
O+NO+N₂O→ NO₂+N₂O,-1.6,-6.7,7.25e-33,,,298.0,N₂O/Hg* (P.),20,17
O+NO+N₂O→ NO₂+N₂O,-1.6,-6.7,7.25e-33,,,473.0,N₂O/Hg* (P.),20,17
O+NO+N₂O→ NO₂+N₂O,,,,1.18E-31,0.0,294.0,N₂O/Hg* (P.),21,17
O+NO→ NO₂+hV,,,,6.93E-42,0.0,294.0,NO₂ (P.),16,2
O+NO+N₂→ NO₂+N₂,,,,7.95E-32,0.0,295.0,NO₂ (P.),15,15
O+NO+N₂→ NO₂+N₂,,,,3.55E-35,0.0,295.0,NO₂ (P.),15,27
O+NO+N₂→ NO₂+N₂,,,,6.32E-32,0.0,295.0,,9,5
O+NO+N₂→ NO₂+N₂,,,,8.14E-32,0.0,297.0,NO₂ (P.),27,"21,22"
O+SO+N₂→ SO₂+N₂,,,,1.86E-31,0.0,298.0,,22,5
S+CS+Ar→CS₂+Ar,-8.7,-36.3,2.4e-34,,,1800.0,,23,18
S+CS+Ar→CS₂+Ar,-8.7,-36.3,2.4e-34,,,3700.0,,23,18
Pb+NO+He→ Products,,,,2.00E-30,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+N₂→ Products,,,,1.20E-30,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+CO→ Products,,,,2.57E-31,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+CO₂→ Products,,,,1.70E-30,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+CH₄→ Products,,,,7.09E-31,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+CF₄→ Products,,,,3.09E-30,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+SF₆→ Products,,,,8.72E-31,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Pb+NO+C₂H₆→ Products,,,,1.00E-30,0.0,300.0,PbEt₄ - pulse irraditation,23,18
Sb+NO+He→ Products,,,,see note,,294.0,SbMe₃-pulsed irradiation ,24,19
Sb+NO+N₂→ Products,,,,see note,,294.0,SbMe₃-pulsed irradiation ,24,19
Sb+NO+SF₆→ Products,,,,see note,,294.0,SbMe₃-pulsed irradiation ,24,19
Bi+NO+He→ Products,,,,see note,,293.0,BiMe₃-pulsed irradiation ,25,20
Bi+NO+N₂→ Products,,,,see note,,293.0,BiMe₃-pulsed irradiation ,25,20
Bi+NO+SF₆→ Products,,,,see note,,293.0,BiMe₃-pulsed irradiation ,25,20
